Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
Dy-510XL,50000,29,34,2,7,1.0,0.0,3.0,1.0,1.0,0,1.0,2.0,1.0,2.0
Dy-5101XL,47000,29,33,2,10,2.0,0.0,2.0,2.0,1.0,0,1.0,2.0,1.0,2.0
Dy-520XL,50000,26,30,2,7,1.0,0.0,2.0,1.0,1.0,3,1.0,1.0,1.0,1.0
Dy-521XL,50000,27,31,2,10,2.0,0.0,1.0,2.0,1.0,3,1.0,1.0,1.0,2.0
Dy-601XL,85000,33,37,2,11,2.0,0.0,2.0,2.0,2.0,5,1.0,1.0,1.0,2.0
Cy3,136000,25,29,2,5,,,,,,4,,,,
Cy5,250000,27,31,2,5,,,,,,6,,,,
Cy5.5,209000,35,35,2,5,,,,,,6,,,,
Benzene,210,6,6,0,0,,,,,,0,,,,
Toluene,2860,7,8,0,0,,,,,,0,,,,
Bacteriochlorophyll a,92000,55,74,4,6,,,,,,0,,,,
"3,3'-Diethylthiacarbocyanine iodide",161000,21,21,2,0,,,,,,4,,,,
"3,3'-Diethylthiadicarbocyanine iodide",249000,23,23,2,0,,,,,,6,,,,
"3,3'-Diethylthiatricarbocyanine iodide",212000,25,25,2,0,,,,,,8,,,,
Indocyanine Green,194000,43,47,2,6,,,,,,8,,,,
"1,1'-Diethyl-3,3,3',3'-tetramethylindocarbocyanine iodide",133000,27,33,2,0,,,,,,4,,,,
"1,1'-Diethyl-2,2'-cyanine iodide",54000,23,23,2,0,,,,,,2,,,,
"1,1'-Diethyl-2,2'-carbocyanine iodide",128000,25,25,2,0,,,,,,4,,,,
"1,1'-Diethyl-2,2'-dicarbocyanine iodide",326000,27,27,2,0,,,,,,6,,,,
"1,1'-Diethyl-4,4'-cyanine iodide",75000,23,23,2,0,,,,,,2,,,,
"1,1'-Diethyl-4,4'-carbocyanine iodide",210000,25,25,2,0,,,,,,4,,,,
"1,1'-Diethyl-4,4'-dicarbocyanine iodide",213000,27,27,2,0,,,,,,6,,,,
"3,3'-Diethyloxacarbocyanine iodide",149000,21,21,2,2,,,,,,4,,,,
"3,3'-Diethyloxadicarbocyanine iodide",237000,23,23,2,2,,,,,,6,,,,
"3,3'-Diethyloxatricarbocyanine iodide",220000,25,25,2,2,,,,,,8,,,,
Thymol Blue,17600,27,30,0,5,,,,,,0,,,,
Thymine,7900,5,6,2,2,,,,,,0,,,,
trans-Chalcone,28000,15,12,0,1,,,,,,3,,,,
trans-Stilbene,28200,14,12,0,0,,,,,,3,,,,
Thiazole Orange,58500,26,24,2,3,,,,,,2,,,,
Thioflavin T,36000,17,19,2,0,,,,,,0,,,,
Thionin,77600,12,10,3,0,,,,,,0,,,,
Phenol Red,40000,19,14,0,5,,,,,,0,,,,
Phenolphthalein,21500,20,14,0,4,,,,,,0,,,,
Phenosafranin,35600,18,15,4,0,,,,,,0,,,,
Phenothiazine,47600,12,9,1,0,,,,,,0,,,,
Phenoxathiin,28500,12,8,0,1,,,,,,0,,,,
Nile Blue,67000,20,20,3,1,,,,,,0,,,,
Nile Red,38000,20,18,2,2,,,,,,0,,,,
Orange G,20900,16,10,2,7,,,,,,0,,,,
Oxazine 1,117000,20,26,3,1,,,,,,0,,,,
Oxazine 170,83000,22,24,3,5,,,,,,0,,,,
Lucifer Yellow CH,24200,13,9,5,9,,,,,,0,,,,
Malachite Green,77200,23,25,2,0,,,,,,0,,,,
Merocyanine 540,138000,26,32,3,6,,,,,,0,,,,
Mesitylene,190,9,12,0,0,,,,,,6,,,,
Methyl Blue,12250,37,27,3,9,,,,,,0,,,,
Methyl Orange,25900,14,14,3,3,,,,,,0,,,,
Methylene Blue,40700,16,18,3,0,,,,,,0,,,,
(R)-BINOL,8590,20,14,0,2,,,,,,0,,,,
"1,2,3,4,5-Pentamethylcyclopentadiene",12200,10,16,0,0,,,,,,0,,,,
"1,2,3,4,5-Pentaphenyl-1,3-cyclopentadiene",18600,35,26,0,0,,,,,,0,,,,
"1,2,4,5-Tetracyanobenzene",3400,10,2,4,0,,,,,,0,,,,
"1,2-Diphenylacetylene",27600,14,10,0,0,,,,,,0,,,,
"1,2-Naphthoquinone",19200,10,6,0,2,,,,,,0,,,,
"1,2-Naphthoquinone-4-sulfonic acid, sodium salt",8570,10,5,0,5,,,,,,0,,,,
"1,3,5-Triphenylbenzene",60000,24,18,0,0,,,,,,0,,,,
"1,4,5,8-Naphthalenetetracarboxylic dianhydride",37200,14,4,0,6,,,,,,0,,,,
"1,4-Anthraquinone",46800,14,8,0,2,,,,,,0,,,,
"1,4-Benzoquinone",17000,6,4,0,2,,,,,,0,,,,
"1,4-Diethynylbenzene",28200,10,6,0,0,,,,,,0,,,,
"1,4-Diphenylbutadiene",33000,16,14,0,0,,,,,,5,,,,
"1,4-Diphenylbutadiyne",27800,16,10,0,0,,,,,,0,,,,
"1,4-Naphthoquinone",21300,10,6,0,2,,,,,,0,,,,
"1,6-Diphenylhexatriene",82400,18,16,0,0,,,,,,7,,,,
"1,8-Naphthalic anhydride",26300,12,6,0,3,,,,,,0,,,,
"2,2'-Bipyridine",11200,10,8,2,0,,,,,,0,,,,
"2,3,5,6-Tetrachloro-1,4-benzoquinone",22400,6,0,0,2,,,,,,0,,,,
"2,3,5,6-Tetramethyl-1,4-benzoquinone",24500,10,12,0,2,,,,,,0,,,,
"2,3,5-Triphenyltetrazolium Chloride",25600,19,15,4,0,,,,,,0,,,,
"2,3-Diaminonaphthalene",50100,10,10,2,0,,,,,,0,,,,
"2,3-Dichloro-1,4-naphthoquinone",18400,10,4,0,2,,,,,,0,,,,
"2,3-Dichloro-5,6-dicyano-1,4-benzoquinone",12300,8,0,2,2,,,,,,0,,,,
"2,4-dihydroxy-6-methylpyrimidine",9300,5,6,2,2,,,,,,0,,,,
